EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY,VIN,Equipment Type
71458,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,5201,2018-08-22T00:00:01.000,MURPHYS AUCTION,JTDKB20U177611884,SEDAN - SML - HYBRID
71459,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,7000,2018-09-04T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20U377619145,SEDAN - SML - HYBRID
31044,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN TRAINING,SPD,3601,2018-05-02T00:00:01.000,MURPHYS AUCTION,1P3ES46C6YD856481,SEDAN - SML
83917,2008,FORD,F150,PICKUP,DPR,5100,2017-12-21T00:00:01.000,MURPHYS AUCTION,1FTPX12558FA12470,TRUCK - LIGHT
35343,2000,EMERGENCY ONE,PUMPER,PUMPER - SIDE MOUNTED CONTROLS,SFD,5800,2018-05-14T00:00:01.000,BIDADOO ONLINE AUCTION,4ENRAAA86Y1001206,FIRE - PUMPER
99636,2009,GMC,YUKON,FULLSIZE SUV - 4X4,SPD,10400,2018-02-15T00:00:01.000,BIDADOO ONLINE AUCTION,1GKGK46K29R242925,SUV - LRG
58273,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,2900,2016-02-22T00:00:01.000,MURPHYS AUCTION,2W9MPH5535P044103,SCOOTER
31597,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1325,2018-12-27T00:00:01.000,MURPHYS AUCTION,2FABP7BV9BX176478,SEDAN - PATROL
58275,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3100,2016-02-22T00:00:01.000,MURPHYS AUCTION,2W9MPH5515P044102,SCOOTER
98240,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,3000,2018-03-07T00:00:01.000,MURPHYS AUCTION,2W9MPH6159S044103,SCOOTER
31599,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2477,2018-12-13T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV7BX176480,SEDAN - PATROL
87118,2008,JOHN DEERE,1565 MOWER,"MOWER - 72"" ROTARY",SDOT,7200,2017-08-28T00:00:01.000,BIDADOO ONLINE AUCTION,TC1565DO70283,MOWER
35344,2000,EMERGENCY ONE,PUMPER,PUMPER - SIDE MOUNTED CONTROLS,SFD,5100,2018-06-20T00:00:01.000,BIDADOO ONLINE AUCTION,4ENRAAA88Y1001207,FIRE - PUMPER
35347,2000,EMERGENCY ONE,CYCLONE II,AERIAL - REAR MOUNT,SFD,7400,2018-10-05T00:00:01.000,BIDADOO ONLINE AUCTION,4EN3ABA86Y1002495,FIRE - LADDER TRUCK
31601,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1250,2018-12-27T00:00:01.000,MURPHYS AUCTION,2FABP7BV0BX176482,SEDAN - PATROL
58277,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,1525,2016-04-26T00:00:01.000,MURPHYS AUCTION,2W9MPH5525P044108,SCOOTER
54544,2005,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,7006,2018-06-20T00:00:01.000,BIDADOO ONLINE AUCTION,1GCDT196358256471,TRUCK - LIGHT
G85447,2009,PETERBILT,367,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,45000,2019-08-22T00:00:01.000,MURPHYS AUCTION,1XPTDB0X49D785802,TRUCK - HEAVY
6527,2000,KENWORTH,T800,TRUCK - 12 YD DUMP - CLASS 8,SPU,55300,2016-03-01T00:00:01.000,BIDADOO ONLINE AUCTION,1NKDLBOXXYR855344,TRUCK - HEAVY
31605,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1580,2019-03-06T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV8BX176486,SEDAN - PATROL
81045,2008,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,SPD,6770,2019-09-17T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20U387778054,SEDAN - SML - HYBRID
31606,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1250,2018-12-27T00:00:01.000,MURPHYS AUCTION,2FABP7BVXBX176487,SEDAN - PATROL
71651,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,5501.02,2018-10-30T00:00:01.000,MURPHYS AUCTION,JTDKB20U473233373,SEDAN - SML - HYBRID
G95449,2010,KENWORTH,T800B,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,75000,2019-08-22T00:00:01.000,MURPHYS AUCTION,1XKDPBEX2AR261646,TRUCK - HEAVY
31611,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1826,2018-01-25T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV4BX161550,SEDAN - PATROL
58278,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3900,2016-02-22T00:00:01.000,MURPHYS AUCTION,2W9MPH55X5P044101,SCOOTER
58280,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3600,2016-02-22T00:00:01.000,MURPHYS AUCTION,2W9MPH5545P044109,SCOOTER
G85446,2009,PETERBILT,367,SOLID WASTE TRUCK TRACTOR - CLASS 8,SPU,45000,2019-08-22T00:00:01.000,MURPHYS AUCTION,1XPTDBOX69D785803,TRUCK - HEAVY
98241,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,1350,2017-12-21T00:00:01.000,MURPHYS AUCTION,2W9MPH6179S044104,SCOOTER
31612,2011,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,1739,2017-12-21T00:00:01.000,MURPHYS AUCTION,2FABP7BV6BX161551,SEDAN - PATROL
31613,2011,FORD,CROWN VICTORIA,PATROL CAR K9,SPD,2185.99,2019-07-18T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV8BX161552,SEDAN - PATROL
71415,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,7407.77,2018-10-05T00:00:01.000,BIDADOO ONLINE AUCTION,JTDTK20U177621640,SEDAN - SML - HYBRID
71804,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,6000,2018-08-22T00:00:01.000,MURPHYS AUCTION,JTDKB20U977612328,SEDAN - SML - HYBRID
43500,2004,FREIGHTLINER,MT55,TRUCK - AERIAL LIFT - TELELECT - CLASS 7,SDOT,14418,2018-06-20T00:00:01.000,BIDADOO ONLINE AUCTION,4UZAAXDC15CU00195,TRUCK - AERIAL - BUCKET
81945,2008,E-RIDE,EXV-2,ELECTRIC TRUCK - 2 PSSGR,DPR,1550,2017-06-23T00:00:01.000,MURPHYS AUCTION,1E9EA15S88P36278,TRUCK - LIGHT - ELECTRIC
81943,2008,CANADIAN ELECTRIC VEHICLES LTD,MIGHT E TRUCK JR,ELECTRIC TRUCK - PICKUP BOX,DPR,6700,2018-06-20T00:00:01.000,BIDADOO ONLINE AUCTION,2C9JL12148E197040,TRUCK - LIGHT - ELECTRIC
P0501,2004,OLYMPIC,OM6T-1E,TRAILER - 5200 LB GVWR,DPR,2375,2017-02-01T00:00:01.000,BIDADOO ONLINE AUCTION,1C9TF12144T879704,TRAILER
5928,2000,BUTLER,TS-612DD,TRAILER - TILT DECK - 5500 LB GVWR,DPR,1425,2016-04-26T00:00:01.000,MURPHYS AUCTION,1BUD12101Y2003978,TRAILER
81048,2008,TOYOTA,PRIUS - CONVERTED TO PLUGIN,SEDAN COMPACT HYBRID PLUG IN ELECTRIC,FAS,5150,2019-07-02T00:00:01.000,MURPHYS AUCTION,JTDKB20U883310568,SEDAN - SML - PHEV
30933,2010,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,3950,2019-10-07T00:00:01.000,BIDADOO ONLINE AUCTION,1GCESBD90A8108223,TRUCK - LIGHT
13177,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,4600,2016-04-26T00:00:01.000,MURPHYS AUCTION,1GKEL19WX1B519741,VAN - MINIVAN
37018,2003,KOMATSU,FG30HT12,FORKLIFT - 6000 LB LIFT,DPR,16250,2018-06-25T00:00:01.000,MURPHYS AUCTION,564352A,FORKLIFT
13181,2001,CHEVROLET,EXPRESS,PASSENGER VAN,SPD,7200,2019-07-02T00:00:01.000,MURPHYS AUCTION,1GAHG39G211224696,VAN
13197,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,1900,2016-01-28T00:00:01.000,BIDADOO ONLINE AUCTION,1GAHG39R211219029,VAN
31584,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2525,2018-03-07T00:00:01.000,MURPHYS AUCTION,2FABP7BV2BX149249,SEDAN - PATROL
15661,2001,ADDCO,DH-1000,TRAILER MOUNTED MESSAGE BOARD - SOLAR,SDOT,1801,2019-08-07T00:00:01.000,BIDADOO ONLINE AUCTION,1A9H121071M157310,TRAILER - MESSAGE BOARD
31585,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1790,2017-12-21T00:00:01.000,MURPHYS AUCTION,2FABP7BV5BX161539,SEDAN - PATROL
31586,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,475,2017-09-01T00:00:01.000,MURPHYS AUCTION,2FABP7BV1BX161540,SEDAN - PATROL
31588,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2654,2019-06-11T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV5BX161542,SEDAN - PATROL
31533,2011,NISSAN,LEAF,SEDAN SUBCOMPACT ELECTRIC,FAS,860,2017-05-08T00:00:01.000,MURPHYS AUCTION,JN1AZ0CP9BT004961,SEDAN - SML - ELECTRIC
15712,2001,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,35100,2016-03-30T00:00:01.000,BIDADOO ONLINE AUCTION,1NPZLT0X21D713031,TRUCK - EDUCTOR
75512,2007,PETERBILT,335,TRUCK - FLATBED - CRANE - CLASS 7,SPU,46100,2019-10-07T00:00:01.000,BIDADOO ONLINE AUCTION,2NPLHN6X48M752105,TRUCK - FLATBED
31589,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1925,2019-03-06T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV7BX161543,SEDAN - PATROL
86604,2008,JOHN DEERE,410J,BACKHOE LOADER - 15080 LB,SPU,0,2018-08-09T00:00:01.000,MURPHYS AUCTION,T0410JX167653,LOADER - BACKHOE
71880,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,6577.77,2018-10-30T00:00:01.000,MURPHYS AUCTION,JTDKB20U577643253,SEDAN - SML - HYBRID
72520,2007,TOYOTA,PRIUS,SEDAN COMPACT - HYBRID,SPU,7100,2018-02-28T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20UX77643829,SEDAN - SML - HYBRID
63793,2006,FORD,F150,PICKUP,DPR,6850,2016-10-21T00:00:01.000,MURPHYS AUCTION,1FTPW12V26FB69230,TRUCK - LIGHT
61861,2006,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,4900,2018-10-30T00:00:01.000,MURPHYS AUCTION,JTDKB20U463144868,SEDAN - SML - HYBRID
63910,2006,FORD,F350,PICKUP - FLATBED,DPR,7100,2018-10-05T00:00:01.000,BIDADOO ONLINE AUCTION,1FDSX34596ED68096,TRUCK - LIGHT
7136,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,12500,2019-05-02T00:00:01.000,BIDADOO ONLINE AUCTION,K005D003762X,FORKLIFT
71924,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,DPR,3300,2017-01-24T00:00:01.000,BIDADOO ONLINE AUCTION,270000168,UTILITY VEHICLE - ELECTRIC
71925,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,DPR,2900,2016-07-19T00:00:01.000,BIDADOO ONLINE AUCTION,270000169,UTILITY VEHICLE - ELECTRIC
83846,2008,FORD,RANGER,COMPACT PICKUP,DPR,4349,2018-03-29T00:00:01.000,BIDADOO ONLINE AUCTION,1FTZR14U38PA05146,TRUCK - LIGHT
65323,2006,FORD,E450,MEDIC AID VAN - NEW BODY,SFD,1500,2017-06-29T00:00:01.000,MURPHYS AUCTION,1FDXE45P06DB40771,MEDIC UNIT
P194071,2006,LANDPRIDE,BALLFIELD GROOMER,BALLFIELD GROOMER,DPR,1875,2017-08-21T00:00:01.000,BIDADOO ONLINE AUCTION,461631,GROOMER
31570,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2100,2016-10-21T00:00:01.000,MURPHYS AUCTION,2FABP7BV4BX149236,SEDAN - PATROL
31591,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2050,2019-07-02T00:00:01.000,MURPHYS AUCTION,2FABP7BV0BX161545,SEDAN - PATROL
31593,2011,FORD,CROWN VICTORIA,PATROL CAR -1/2 CAGE,SPD,2325,2018-06-20T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV4BX161547,SEDAN - PATROL
79110,2007,DODGE,CHARGER,PATROL CAR - DUI,SPD,4800.15,2016-04-06T00:00:01.000,BIDADOO ONLINE AUCTION,2B3LA43H07H844260,SEDAN - PATROL
83794,2008,FORD,RANGER,COMPACT PICKUP,DPR,4950,2019-05-17T00:00:01.000,BIDADOO ONLINE AUCTION,1FTZR14U48PA92491,TRUCK - LIGHT
93159,2009,GMC,YUKON,FULLSIZE SUV - 4X4,SPD,8700,2017-11-20T00:00:01.000,BIDADOO ONLINE AUCTION,1GKGK46K59R242904,SUV - LRG
73179,2007,DODGE,GRAND CARAVAN,PASSENGER MINIVAN,SPD,5750,2018-06-25T00:00:01.000,MURPHYS AUCTION,1D8GP24E37B251378,VAN - MINIVAN
72554,2007,DODGE,GRAND CARAVAN,MINIVAN PASSENGER,SPU,3700,2019-03-06T00:00:01.000,BIDADOO ONLINE AUCTION,1D4GP24E17B251381,VAN - MINIVAN
71036,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,3560,2019-03-06T00:00:01.000,BIDADOO ONLINE AUCTION,1FAHP34N27W297985,SEDAN - SML
71040,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,3600,2018-08-22T00:00:01.000,MURPHYS AUCTION,1FAHP34N47W297986,SEDAN - SML
71042,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,3450,2019-03-06T00:00:01.000,BIDADOO ONLINE AUCTION,1FAHP34N67W297987,SEDAN - SML
72195,2007,FORD,FOCUS,SUBCOMPACT SEDAN,SPD,5400,2019-05-03T00:00:01.000,MURPHYS AUCTION,1FAHP34N87W297988,SEDAN - SML
77147,2007,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,36200,2016-03-01T00:00:01.000,BIDADOO ONLINE AUCTION,N7C431776,LOADER - BACKHOE
31573,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1725,2016-04-28T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BVXBX149239,SEDAN - PATROL
31574,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2225.09,2016-08-03T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV6BX149240,SEDAN - PATROL
31578,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2111,2016-08-18T00:00:01.000,MURPHYS AUCTION,2FABP7BV3BX149244,SEDAN - PATROL
73766,2007,DODGE,GRAND CARAVAN,VAN - MINIVAN - 8 PASSENGER,SFD,4200,2018-10-30T00:00:01.000,MURPHYS AUCTION,1D4GP24E87B251393,VAN - MINIVAN
83223,2008,FORD,RANGER,COMPACT PICKUP,FAS,6001,2019-05-02T00:00:01.000,BIDADOO ONLINE AUCTION,1FTZR14U88PA92493,TRUCK - LIGHT
84564,2008,FORD,RANGER,COMPACT PICKUP,SPU,4600,2019-03-06T00:00:01.000,MURPHYS AUCTION,1FTZR14U58PA92497,TRUCK - LIGHT
88182,2008,JOHN DEERE,110 TRACTOR/LOADER/BACKHOE,TRACTOR - LOADER - BACKHOE,DPR,39887,2019-06-11T00:00:01.000,BIDADOO ONLINE AUCTION,LV0110T710755,TRACTOR - LOADER
30861,2009,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,5100,2017-03-13T00:00:01.000,MURPHYS AUCTION,1GCJTBDE8A8100461,TRUCK - LIGHT
79916,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,850,2019-07-02T00:00:01.000,MURPHYS AUCTION,2FAFP71W37X109135,SEDAN - PATROL
31579,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,3039,2016-07-27T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV5BX149245,SEDAN - PATROL
83599,2008,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SDOT,8900,2018-12-27T00:00:01.000,MURPHYS AUCTION,1GCDT19E288208181,TRUCK - LIGHT
71733,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,7900,2018-11-08T00:00:01.000,BIDADOO ONLINE AUCTION,4T1BB46K17U013602,SEDAN - MED - HYBRID
71734,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,2950,2018-05-02T00:00:01.000,MURPHYS AUCTION,4T1BB46K07U016734,SEDAN - MED - HYBRID
71735,2007,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,5975,2018-08-22T00:00:01.000,MURPHYS AUCTION,4T1BB46K47U014663,SEDAN - MED - HYBRID
12909,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,4738.99,2016-06-14T00:00:01.000,BIDADOO ONLINE AUCTION,1GKEL19W01B519831,VAN - MINIVAN
7219,2000,INGERSOLL RAND,P185WJDU,AIR COMPRESSOR - TRAILER MOUNTED,SDOT,7101,2018-11-08T00:00:01.000,BIDADOO ONLINE AUCTION,310212UCK297,COMPRESSOR
73426,2007,FORD,E350,VAN CARGO,SPU,13250,2017-10-25T00:00:01.000,MURPHYS AUCTION,1FTSE34L97DB20835,VAN
73519,2007,FORD,E150,CARGO VAN,SDOT,12150,2017-10-25T00:00:01.000,MURPHYS AUCTION,1FTNE14W47DB11911,VAN
73520,2007,FORD,E150,CARGO VAN,SDOT,10350,2018-05-02T00:00:01.000,MURPHYS AUCTION,1FTNE14WX7DB11914,VAN
73942,2007,FORD,E350,CARGO VAN,DPR,5600,2017-12-21T00:00:01.000,MURPHYS AUCTION,1FTSE34L97DA47241,VAN
63363,2006,DODGE,SPRINTER,VAN CARGO SPRINTER 3500  9990GVW,DPR,17250,2017-12-21T00:00:01.000,MURPHYS AUCTION,WD0PD444465968869,VAN
31580,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,3550,2017-01-05T00:00:01.000,BIDADOO ONLINE AUCTION,2FABP7BV7BX149246,SEDAN - PATROL
74033,2007,FORD,E350,CARGO VAN,SPL,8900,2018-09-04T00:00:01.000,BIDADOO ONLINE AUCTION,1FTNE24L77DA51134,VAN
74035,2007,FORD,E350,CARGO VAN,SPL,4350,2018-10-05T00:00:01.000,BIDADOO ONLINE AUCTION,1FTNE24L97DA51135,VAN
31582,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1925,2017-03-13T00:00:01.000,MURPHYS AUCTION,2FABP7BV9BX149247,SEDAN - PATROL
84680,2008,FORD,F250,PICKUP - 4X4,SPU,13750,2017-10-25T00:00:01.000,MURPHYS AUCTION,1FTSX21588EB86637,TRUCK - LIGHT
73347,2007,FORD,F150,PICKUP,DPR,7700,2018-12-13T00:00:01.000,BIDADOO ONLINE AUCTION,1FTRX12W67FB55623,TRUCK - LIGHT
66457,2006,KOBELCO,ED150,EXCAVATOR - 18 TON DOZER BLADE,SPU,48600,2019-01-16T00:00:01.000,BIDADOO ONLINE AUCTION,YL0500813,EXCAVATOR
75420,2007,EMERGENCY ONE,PUMPER,PUMPER - TOP MOUNTED CONTROLS,SFD,2050,2017-10-25T00:00:01.000,MURPHYS AUCTION,4ENGAAA8171002995,FIRE - PUMPER
13156,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,5500,2019-09-03T00:00:01.000,MURPHYS AUCTION,1GAHG39R411217332,VAN
31583,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,1850,2018-12-27T00:00:01.000,MURPHYS AUCTION,2FABP7BV0BX149248,SEDAN - PATROL
14561,2001,GMC,SONOMA,COMPACT PICKUP TRAINING,SPD,3551,2018-10-30T00:00:01.000,MURPHYS AUCTION,1GTCS19W018227101,TRUCK - LIGHT
63369,2006,FORD,RANGER,COMPACT PICKUP,DPR,4650,2017-03-13T00:00:01.000,BIDADOO ONLINE AUCTION,1FTZR44U26PA57429,TRUCK - LIGHT
63928,2006,FORD,RANGER,COMPACT PICKUP,DPR,3500,2017-03-13T00:00:01.000,MURPHYS AUCTION,1FTZR44U06PA57428,TRUCK - LIGHT
63397,2006,FORD,RANGER,COMPACT PICKUP,DPR,2050,2017-03-13T00:00:01.000,MURPHYS AUCTION,1FTZR44U96PA57427,TRUCK - LIGHT
79994,2007,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,1600,2016-03-23T00:00:01.000,BIDADOO ONLINE AUCTION,2FAHP71WX7X141816,SEDAN - PATROL
95713,2009,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,80000,2019-02-22T00:00:01.000,MURPHYS AUCTION,3BPZLU0X19F719128,TRUCK - EDUCTOR
95526,2009,PETERBILT,320,TRUCK - EDUCTOR - VAC CON,SPU,38100,2019-02-27T00:00:01.000,BIDADOO ONLINE AUCTION,3BPZLU0X19F719131,TRUCK - EDUCTOR
63861,2006,FORD,RANGER,COMPACT PICKUP,DPR,7000,2017-10-25T00:00:01.000,MURPHYS AUCTION,1FTYR10D26PA12054,TRUCK - LIGHT
P0618,2006,UNKNOWN,UNKNOWN,TRAILER - TANDEM AXLE,DPR,6600,2019-06-11T00:00:01.000,BIDADOO ONLINE AUCTION,5DYAA15247C002841,TRAILER
63400,2006,FORD,RANGER,COMPACT PICKUP,DPR,4550,2017-03-03T00:00:01.000,BIDADOO ONLINE AUCTION,1FTZR44U96PA57426,TRUCK - LIGHT
63393,2006,FORD,RANGER,COMPACT PICKUP,DPR,2325,2017-03-13T00:00:01.000,MURPHYS AUCTION,1FTZR14U26PA57431,TRUCK - LIGHT
45688,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,14550,2016-02-03T00:00:01.000,BIDADOO ONLINE AUCTION,1ATCS54315L189061,TRAILER
45671,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,11000,2016-01-14T00:00:01.000,BIDADOO ONLINE AUCTION,1ATCS547325L189053,TRAILER
3124,1992,GMC,G3500,PRISONER VAN,SPD,1925,2017-10-25T00:00:01.000,MURPHYS AUCTION,2GJGG39K9N4505571,VAN
83912,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,9310,2019-01-25T00:00:01.000,BIDADOO ONLINE AUCTION,1FBNE31L48DB13282,VAN
83365,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,10105,2019-01-25T00:00:01.000,BIDADOO ONLINE AUCTION,1FBNE31L28DB13281,VAN
83918,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,9900,2019-02-27T00:00:01.000,BIDADOO ONLINE AUCTION,1FBNE31L48DB13279,VAN
83366,2008,FORD,ECONOLINE,PASSENGER VAN,DPR,7406,2019-01-25T00:00:01.000,BIDADOO ONLINE AUCTION,1FBNE31L68DB13283,VAN
14524,2001,FORD,F450,PICKUP - HOOK LIFT - MULTIBODY - CLASS 4,SPU,18402,2016-01-06T00:00:01.000,BIDADOO ONLINE AUCTION,1FDXF46FX1EA81752,TRUCK - HEAVY
81931,2008,TORO,WORKMAN 4300,UTILITY VEHICLE 4 WHEEL,DPR,5450,2016-12-08T00:00:01.000,MURPHYS AUCTION,280000169,UTILITY VEHICLE
45673,2004,AMERICAN TRUCK BODIES,TRIPLE AXLE PUP DUMP,TRAILER - PUP DUMP,SDOT,13122,2016-02-03T00:00:01.000,BIDADOO ONLINE AUCTION,1ATCS54335L189059,TRAILER
79989,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,1625,2016-10-21T00:00:01.000,MURPHYS AUCTION,2FAHP71W37X141799,SEDAN - PATROL
73732,2007,FORD,E350,CARGO VAN - ELECTRICIAN,FAS,13601,2018-01-25T00:00:01.000,BIDADOO ONLINE AUCTION,1FTSE34L27DB20837,VAN
38204,2003,OLYMPIC,OM10-2E,TRAILER - 50000 LB GVWR,DPR,20100,2018-12-27T00:00:01.000,MURPHYS AUCTION,1C9TF36323T879366,TRAILER
80480,2008,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2801,2017-04-12T00:00:01.000,BIDADOO ONLINE AUCTION,2G1WS583481274357,SEDAN - MED
30993,2010,SEGWAY,I2,PERSONAL MOBILITY DEVICE ELECTRIC,FAS,2025,2016-03-30T00:00:01.000,BIDADOO ONLINE AUCTION,1.02E+11,PERSONAL MOBILITY DEVICE - ELE
